date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations_per_million,share_doses_used,fips,deaths,new_cases,total_cases,population
2020-03-02,Texas,,,,,,,,,,,,48,0,0,11,28997300
2020-03-02,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-03-02,Washington,,,,,,,,,,,,53,6,6,23,7614800
2020-03-02,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-03,Arizona,,,,,,,,,,,,4,0,1,2,7277900
2020-03-03,California,,,,,,,,,,,,6,0,7,45,39513700
2020-03-03,Florida,,,,,,,,,,,,12,0,1,3,21479100
2020-03-03,Georgia,,,,,,,,,,,,13,0,0,2,10617100
2020-03-03,Illinois,,,,,,,,,,,,17,0,0,4,12672400
2020-03-03,Massachusetts,,,,,,,,,,,,25,0,0,2,6892900
2020-03-03,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-03-03,New Hampshire,,,,,,,,,,,,33,0,1,2,1359700
2020-03-03,New York,,,,,,,,,,,,36,0,1,2,19455200
2020-03-03,North Carolina,,,,,,,,,,,,37,0,1,1,10487000
2020-03-03,Oregon,,,,,,,,,,,,41,0,0,2,4217500
2020-03-03,Rhode Island,,,,,,,,,,,,44,0,0,2,1059300
2020-03-03,Texas,,,,,,,,,,,,48,0,0,11,28997300
2020-03-03,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-03-03,Washington,,,,,,,,,,,,53,10,9,32,7614800
2020-03-03,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-04,Arizona,,,,,,,,,,,,4,0,0,2,7277900
2020-03-04,California,,,,,,,,,,,,6,1,10,55,39513700
2020-03-04,Florida,,,,,,,,,,,,12,0,0,3,21479100
2020-03-04,Georgia,,,,,,,,,,,,13,0,0,2,10617100
2020-03-04,Illinois,,,,,,,,,,,,17,0,0,4,12672400
2020-03-04,Massachusetts,,,,,,,,,,,,25,0,0,2,6892900
2020-03-04,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-03-04,New Hampshire,,,,,,,,,,,,33,0,0,2,1359700
2020-03-04,New Jersey,,,,,,,,,,,,34,0,1,1,8881900
